epoch,trainingAccuracy,stdTrainingAccuracy,testingAccuracy,stdTestingAccuracy
0,0.675,0.1695582495781317,0.4,0.37416573867739417
1,0.7,0.1695582495781317,0.4,0.37416573867739417
2,0.75,0.2091650066335189,0.3,0.24494897427831783
3,0.75,0.2091650066335189,0.3,0.24494897427831783
4,0.75,0.2091650066335189,0.3,0.24494897427831783
5,0.75,0.2091650066335189,0.3,0.24494897427831783
6,0.75,0.2091650066335189,0.3,0.24494897427831783
7,0.75,0.2091650066335189,0.3,0.24494897427831783
8,0.75,0.2091650066335189,0.3,0.24494897427831783
9,0.75,0.2091650066335189,0.3,0.24494897427831783
10,0.75,0.2091650066335189,0.3,0.24494897427831783
11,0.75,0.2091650066335189,0.3,0.24494897427831783
12,0.75,0.2091650066335189,0.3,0.24494897427831783
13,0.75,0.2091650066335189,0.3,0.24494897427831783
14,0.75,0.2091650066335189,0.3,0.24494897427831783
15,0.75,0.2091650066335189,0.3,0.24494897427831783
16,0.75,0.2091650066335189,0.3,0.24494897427831783
17,0.75,0.2091650066335189,0.3,0.24494897427831783
18,0.75,0.2091650066335189,0.3,0.24494897427831783
19,0.75,0.2091650066335189,0.3,0.24494897427831783
20,0.75,0.2091650066335189,0.3,0.24494897427831783
21,0.75,0.2091650066335189,0.3,0.24494897427831783
22,0.75,0.2091650066335189,0.3,0.24494897427831783
23,0.75,0.2091650066335189,0.3,0.24494897427831783
24,0.75,0.2091650066335189,0.3,0.24494897427831783
25,0.75,0.2091650066335189,0.3,0.24494897427831783
26,0.775,0.2,0.3,0.24494897427831783
27,0.775,0.2,0.3,0.24494897427831783
28,0.775,0.2,0.3,0.24494897427831783
29,0.775,0.2,0.3,0.24494897427831783
30,0.775,0.2,0.3,0.24494897427831783
31,0.775,0.2,0.3,0.24494897427831783
32,0.775,0.2,0.3,0.24494897427831783
33,0.775,0.2,0.3,0.24494897427831783
34,0.775,0.2,0.3,0.24494897427831783
35,0.775,0.2,0.3,0.24494897427831783
36,0.775,0.2,0.3,0.24494897427831783
37,0.775,0.2,0.3,0.24494897427831783
38,0.775,0.2,0.3,0.24494897427831783
39,0.775,0.2,0.3,0.24494897427831783
40,0.775,0.2,0.3,0.24494897427831783
41,0.775,0.2,0.3,0.24494897427831783
42,0.775,0.2,0.3,0.24494897427831783
43,0.775,0.2,0.3,0.24494897427831783
44,0.775,0.2,0.3,0.24494897427831783
45,0.775,0.2,0.3,0.24494897427831783
46,0.775,0.2,0.3,0.24494897427831783
47,0.775,0.2,0.3,0.24494897427831783
48,0.775,0.2,0.3,0.24494897427831783
49,0.775,0.2,0.3,0.24494897427831783
50,0.775,0.2,0.3,0.24494897427831783
51,0.775,0.2,0.3,0.24494897427831783
52,0.775,0.2,0.3,0.24494897427831783
53,0.775,0.2,0.3,0.24494897427831783
54,0.775,0.2,0.3,0.24494897427831783
55,0.775,0.2,0.4,0.2
56,0.775,0.2,0.4,0.2
57,0.775,0.2,0.4,0.2
58,0.775,0.2,0.4,0.2
59,0.775,0.2,0.4,0.2
60,0.775,0.2,0.4,0.2
61,0.775,0.2,0.4,0.2
62,0.775,0.2,0.4,0.2
63,0.775,0.2,0.4,0.2
64,0.775,0.2,0.4,0.2
65,0.775,0.2,0.4,0.2
66,0.775,0.2,0.5,0.31622776601683794
67,0.775,0.2,0.5,0.31622776601683794
68,0.775,0.2,0.5,0.31622776601683794
69,0.775,0.2,0.5,0.31622776601683794
70,0.775,0.2,0.5,0.31622776601683794
71,0.775,0.2,0.5,0.31622776601683794
72,0.775,0.2,0.5,0.31622776601683794
73,0.775,0.2,0.5,0.31622776601683794
74,0.775,0.2,0.5,0.31622776601683794
75,0.775,0.2,0.5,0.31622776601683794
76,0.775,0.2,0.5,0.31622776601683794
77,0.775,0.2,0.5,0.31622776601683794
78,0.8,0.203100960115899,0.5,0.31622776601683794
79,0.8,0.203100960115899,0.5,0.31622776601683794
80,0.8,0.203100960115899,0.5,0.31622776601683794
81,0.8,0.203100960115899,0.5,0.31622776601683794
82,0.8,0.203100960115899,0.5,0.31622776601683794
83,0.8,0.203100960115899,0.5,0.31622776601683794
84,0.8,0.203100960115899,0.5,0.31622776601683794
85,0.8,0.203100960115899,0.5,0.31622776601683794
86,0.8,0.203100960115899,0.5,0.31622776601683794
87,0.8,0.203100960115899,0.5,0.31622776601683794
88,0.8,0.203100960115899,0.5,0.31622776601683794
89,0.8,0.203100960115899,0.5,0.31622776601683794
90,0.8,0.203100960115899,0.5,0.31622776601683794
91,0.8,0.203100960115899,0.5,0.31622776601683794
92,0.8,0.203100960115899,0.5,0.31622776601683794
93,0.8,0.203100960115899,0.5,0.31622776601683794
94,0.8,0.203100960115899,0.5,0.31622776601683794
95,0.8,0.203100960115899,0.5,0.31622776601683794
96,0.8,0.203100960115899,0.5,0.31622776601683794
97,0.8,0.203100960115899,0.5,0.31622776601683794
98,0.8,0.203100960115899,0.5,0.31622776601683794
99,0.8,0.203100960115899,0.5,0.31622776601683794
100,0.8,0.203100960115899,0.5,0.31622776601683794
101,0.8,0.203100960115899,0.5,0.31622776601683794
102,0.8,0.203100960115899,0.5,0.31622776601683794
103,0.8,0.203100960115899,0.5,0.31622776601683794
104,0.8,0.203100960115899,0.5,0.31622776601683794
105,0.8,0.203100960115899,0.5,0.31622776601683794
106,0.8,0.203100960115899,0.5,0.31622776601683794
107,0.8,0.203100960115899,0.5,0.31622776601683794
108,0.8,0.203100960115899,0.5,0.31622776601683794
109,0.8,0.203100960115899,0.5,0.31622776601683794
110,0.8,0.203100960115899,0.5,0.31622776601683794
111,0.8,0.203100960115899,0.5,0.31622776601683794
112,0.8,0.203100960115899,0.5,0.31622776601683794
113,0.8,0.203100960115899,0.5,0.31622776601683794
114,0.8,0.203100960115899,0.5,0.31622776601683794
115,0.8,0.203100960115899,0.5,0.31622776601683794
116,0.8,0.203100960115899,0.5,0.31622776601683794
117,0.8,0.203100960115899,0.5,0.31622776601683794
118,0.8,0.203100960115899,0.5,0.31622776601683794
119,0.8,0.203100960115899,0.5,0.31622776601683794
120,0.8,0.203100960115899,0.5,0.31622776601683794
121,0.8,0.203100960115899,0.5,0.31622776601683794
122,0.8,0.203100960115899,0.5,0.31622776601683794
123,0.8,0.203100960115899,0.5,0.31622776601683794
124,0.8,0.203100960115899,0.5,0.31622776601683794
125,0.8,0.203100960115899,0.5,0.31622776601683794
126,0.8,0.203100960115899,0.5,0.31622776601683794
127,0.8,0.203100960115899,0.5,0.31622776601683794
128,0.8,0.203100960115899,0.5,0.31622776601683794
129,0.8,0.203100960115899,0.5,0.31622776601683794
130,0.8,0.203100960115899,0.5,0.31622776601683794
131,0.8,0.203100960115899,0.5,0.31622776601683794
132,0.8,0.203100960115899,0.5,0.31622776601683794
133,0.8,0.203100960115899,0.5,0.31622776601683794
134,0.8,0.203100960115899,0.5,0.31622776601683794
135,0.8,0.203100960115899,0.5,0.31622776601683794
136,0.825,0.18708286933869706,0.5,0.31622776601683794
137,0.825,0.18708286933869706,0.5,0.31622776601683794
138,0.825,0.18708286933869706,0.5,0.31622776601683794
139,0.825,0.18708286933869706,0.5,0.31622776601683794
140,0.825,0.18708286933869706,0.5,0.31622776601683794
141,0.825,0.18708286933869706,0.5,0.31622776601683794
142,0.825,0.18708286933869706,0.5,0.31622776601683794
143,0.825,0.18708286933869706,0.5,0.31622776601683794
144,0.825,0.18708286933869706,0.5,0.31622776601683794
145,0.825,0.18708286933869706,0.5,0.31622776601683794
146,0.825,0.18708286933869706,0.5,0.31622776601683794
147,0.825,0.18708286933869706,0.5,0.31622776601683794
148,0.825,0.18708286933869706,0.5,0.31622776601683794
149,0.825,0.18708286933869706,0.5,0.31622776601683794
150,0.825,0.18708286933869706,0.5,0.31622776601683794
151,0.825,0.18708286933869706,0.5,0.31622776601683794
152,0.825,0.18708286933869706,0.5,0.31622776601683794
153,0.825,0.18708286933869706,0.5,0.31622776601683794
154,0.825,0.18708286933869706,0.5,0.31622776601683794
155,0.825,0.18708286933869706,0.5,0.31622776601683794
156,0.825,0.18708286933869706,0.5,0.31622776601683794
157,0.825,0.18708286933869706,0.5,0.31622776601683794
158,0.825,0.18708286933869706,0.5,0.31622776601683794
159,0.825,0.18708286933869706,0.5,0.31622776601683794
160,0.825,0.18708286933869706,0.5,0.31622776601683794
161,0.825,0.18708286933869706,0.5,0.31622776601683794
162,0.825,0.18708286933869706,0.5,0.31622776601683794
163,0.825,0.18708286933869706,0.5,0.31622776601683794
164,0.825,0.18708286933869706,0.5,0.31622776601683794
165,0.825,0.18708286933869706,0.5,0.31622776601683794
166,0.825,0.18708286933869706,0.5,0.31622776601683794
167,0.825,0.18708286933869706,0.5,0.31622776601683794
168,0.825,0.18708286933869706,0.5,0.31622776601683794
169,0.825,0.18708286933869706,0.5,0.31622776601683794
170,0.825,0.18708286933869706,0.5,0.31622776601683794
171,0.825,0.18708286933869706,0.5,0.31622776601683794
172,0.825,0.18708286933869706,0.5,0.31622776601683794
173,0.825,0.18708286933869706,0.5,0.31622776601683794
174,0.825,0.18708286933869706,0.5,0.31622776601683794
175,0.825,0.18708286933869706,0.5,0.31622776601683794
176,0.825,0.18708286933869706,0.5,0.31622776601683794
177,0.825,0.18708286933869706,0.5,0.31622776601683794
178,0.825,0.18708286933869706,0.5,0.31622776601683794
179,0.825,0.18708286933869706,0.5,0.31622776601683794
180,0.825,0.18708286933869706,0.5,0.31622776601683794
181,0.825,0.18708286933869706,0.5,0.31622776601683794
182,0.825,0.18708286933869706,0.5,0.31622776601683794
183,0.825,0.18708286933869706,0.5,0.31622776601683794
184,0.825,0.18708286933869706,0.5,0.31622776601683794
185,0.825,0.18708286933869706,0.5,0.31622776601683794
186,0.825,0.18708286933869706,0.5,0.31622776601683794
187,0.825,0.18708286933869706,0.5,0.31622776601683794
188,0.825,0.18708286933869706,0.5,0.31622776601683794
189,0.825,0.18708286933869706,0.5,0.31622776601683794
190,0.825,0.18708286933869706,0.5,0.31622776601683794
191,0.825,0.18708286933869706,0.5,0.31622776601683794
192,0.825,0.18708286933869706,0.5,0.31622776601683794
193,0.825,0.18708286933869706,0.5,0.31622776601683794
194,0.825,0.18708286933869706,0.5,0.31622776601683794
195,0.825,0.18708286933869706,0.5,0.31622776601683794
196,0.825,0.18708286933869706,0.5,0.31622776601683794
197,0.825,0.18708286933869706,0.5,0.31622776601683794
198,0.825,0.18708286933869706,0.5,0.31622776601683794
199,0.825,0.18708286933869706,0.5,0.31622776601683794
200,0.825,0.18708286933869706,0.5,0.31622776601683794
201,0.825,0.18708286933869706,0.5,0.31622776601683794
202,0.825,0.18708286933869706,0.5,0.31622776601683794
203,0.825,0.18708286933869706,0.5,0.31622776601683794
204,0.825,0.18708286933869706,0.5,0.31622776601683794
205,0.825,0.18708286933869706,0.5,0.31622776601683794
206,0.825,0.18708286933869706,0.5,0.31622776601683794
207,0.825,0.18708286933869706,0.5,0.31622776601683794
208,0.85,0.2,0.5,0.31622776601683794
209,0.85,0.2,0.5,0.31622776601683794
210,0.85,0.2,0.5,0.31622776601683794
211,0.85,0.2,0.5,0.31622776601683794
212,0.85,0.2,0.5,0.31622776601683794
213,0.85,0.2,0.5,0.31622776601683794
214,0.85,0.2,0.5,0.31622776601683794
215,0.85,0.2,0.5,0.31622776601683794
216,0.85,0.2,0.5,0.31622776601683794
217,0.85,0.2,0.5,0.31622776601683794
218,0.85,0.2,0.5,0.31622776601683794
219,0.85,0.2,0.5,0.31622776601683794
220,0.85,0.2,0.5,0.31622776601683794
221,0.85,0.2,0.5,0.31622776601683794
222,0.85,0.2,0.5,0.31622776601683794
223,0.85,0.2,0.5,0.31622776601683794
224,0.85,0.2,0.5,0.31622776601683794
225,0.85,0.2,0.5,0.31622776601683794
226,0.85,0.2,0.5,0.31622776601683794
227,0.85,0.2,0.5,0.31622776601683794
228,0.85,0.2,0.5,0.31622776601683794
229,0.85,0.2,0.5,0.31622776601683794
230,0.85,0.2,0.5,0.31622776601683794
231,0.85,0.2,0.5,0.31622776601683794
232,0.85,0.2,0.5,0.31622776601683794
233,0.85,0.2,0.5,0.31622776601683794
234,0.85,0.2,0.5,0.31622776601683794
235,0.85,0.2,0.5,0.31622776601683794
236,0.85,0.2,0.5,0.31622776601683794
237,0.85,0.2,0.5,0.31622776601683794
238,0.85,0.2,0.5,0.31622776601683794
239,0.85,0.2,0.5,0.31622776601683794
240,0.85,0.2,0.5,0.31622776601683794
241,0.85,0.2,0.5,0.31622776601683794
242,0.85,0.2,0.5,0.31622776601683794
243,0.85,0.2,0.5,0.31622776601683794
244,0.85,0.2,0.5,0.31622776601683794
245,0.85,0.2,0.5,0.31622776601683794
246,0.85,0.2,0.5,0.31622776601683794
247,0.85,0.2,0.5,0.31622776601683794
248,0.85,0.2,0.5,0.31622776601683794
249,0.85,0.2,0.5,0.31622776601683794
250,0.85,0.2,0.5,0.31622776601683794
251,0.85,0.2,0.5,0.31622776601683794
